Адрес организации,Номер телефона орагнизации,Номер дополнительного телефона орагнизации,email aдрес,Адрес сайта,Работает ли сайт?,title сайта организации,description сайта организации,keywords сайта организации,Cайт принадлежит организации?,Количество подписчиков Instagramm,Ссылки на соц. сети в Instagramm,Количество подписчиков VK,Ссылки на соц. сети в VK,Количество подписчиков youtube,Ссылки на соц. сети в youtube,id региона,Полное наименование об организации (по уставу),Краткое наименование организации,Дата создания организации,Юридическое лицо / Филиал,Общее количество сотрудников,Субъект РФ,Тип организации,Количество занимающихся детей,Количество занимающихся детей художественной направленностью,Количество занимающихся детей естественно-научной направленностью,Количество занимающихся детей технической направленностью,Количество занимающихся детей социально-педагогической направленностью,Количество занимающихся детей физкультурно-спортивной направленностью,Количество занимающихся детей туристической направленностью,Количество занимающихся детей интеллектуально игровой направленностью,Фактическая наполняемость,Количество педагогов,Количество педагогов художественной направленности,Количество педагогов естественно-научной направленности,Количество педагогов технической направленности,Количество педагогов социально-педагогической направленности,Количество педагогов физкультурно-спортивной направленности,Количество педагогов туристической направленности,Количество педагогов интеллектуально игровой направленности,okfs,okopf,ogrn,inn,Номер бланка лицензии,Кем выдана лицензии,Cрок лицензии,id,Техническое,Естественнонаучная
"обл. Кировская, г. Киров, ул. Сурикова, дом 21, 610035",88332633484,88332571591,dvorecmemorial@yandex.ru,http://dvorecmemorial.ru,True,Новости,"Официальный сайт КОГОБУ ДО ""Дворец творчества - Мемориал""",Не найдено,True,Нет аккаунта,Нет аккаунта,382780,"{'https://vk.com/id15682375', 'https://vk.com/unicornfr', 'https://vk.com/vann0chka', 'https://vk.com/club123731695', 'https://vk.com/ppuupsiik', 'https://vk.com/gbarminov', 'https://vk.com/mysbking', 'https://vk.com/topic-123731695_34003141', 'https://vk.com/feed?section=search&q=%23%D0%A0%D0%94%D0%A843', 'https://vk.com/bpcontest', 'https://vk.com/darya_chekalkina'}",Нет аккаунта,Нет аккаунта,35,Кировское областное государственное образовательное бюджетное учреждение дополнительного образования «Дворец творчества - Мемориал»,КОГОБУ ДО Дворец творчества - Мемориал,1974-09-01,Юридическое лицо,Неизвестно,Кировская область,Организация дополнительного образования,4738,2141,969,251,1069,241,67,0,5034,60,27,8,5,13,6,1,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1034316534911,4346041287,1208,Министерство образования Кировской области,Бессрочная,61,True,True
"обл. Оренбургская, р-н. Курманаевский, с. Курманаевка, ул. Мира, дом 5, 461060",83534121567,Неизвестно,centr-curmanaevca2@yandex.ru,http://crtdyu-kurm.ucoz.ru/,True,"Архив материалов - Официальный сайт МБУДО  ""ЦДТ"" c.Курманаевка",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,91,Муниципальное бюджетное учреждение дополнительного образования «Центр развития творчества детей и юношества» с. Курманаевка Курманаевского района Оренбургской области,МБУДО ЦРТДиЮ с. Курманаевка,1968-02-19,Юридическое лицо,57,Оренбургская область,Организация дополнительного образования,1085,318,53,191,319,24,180,0,1085,57,14,3,11,17,1,11,0,Государственная собственность,Муниципальные бюджетные учреждения,1025602831506,5633004322,1434-1,Министерство образования Оренбургской области,Бессрочная,5500,True,True
"обл. Ленинградская, р-н. Волховский, г. Волхов, ул. Володарского, дом 3Б, 187401",88136379252,88136375107,s-ladoga.cit@mail.ru,http://stlad.narod.ru,True,Центр информационных технологий Волховского района - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,39,"Муниципальное бюджетное учреждение дополнительного образования ""Центр дополнительного образования - Центр информационных технологий"" г. Волхов","МБУДО ""Центр информационных технологий"" г. Волхов",2002-12-03,Юридическое лицо,32,Ленинградская область,Организация дополнительного образования,1603,12,0,403,1188,0,0,0,1603,18,1,0,5,12,0,0,0,Государственная собственность,Неизвестно,1024702050669,4718013123,Не известно,Не известно,Не известно,5370,True,False
"обл. Ярославская, г. Ярославль, ул. Кудрявцева, дом 26, 150047",74852748853,Неизвестно,muts.kirlen@yandex.ru,https://muklen.edu.yar.ru,True,Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,63,"Муниципальное образовательное учреждение дополнительного образования ""Межшкольный учебный центр Кировского и Ленинского районов""","МОУ ДО ""МУЦ Кировского и Ленинского районов""",Не известно,Юридическое лицо,Неизвестно,Ярославская область,Организация дополнительного образования,1429,155,58,0,1057,144,15,0,Не известно,24,4,3,0,12,4,1,0,Неизвестно,Неизвестно,1137606002775,7606091873,308/13,Департамент образования Ярославской области,Бессрочная,1710,False,True
"край. Ставропольский, р-н. Советский, г. Зеленокумск, ул. Советская, дом 14, 357911",88655261551,Неизвестно,moudod_zcvr@mail.ru,http://zelcvr.ucoz.ru/,True,Внешкольник - Сведения об образовательной организации,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,18,"Муниципальное учреждение дополнительного образования ""Центр внешкольной работы г. Зеленокумска Советского района""",МУДО ЦВР г. Зеленокумск,1954-01-14,Юридическое лицо,47,Ставропольский край,Организация дополнительного образования,1896,766,48,297,543,89,49,104,Не известно,47,15,3,9,14,3,2,1,Неизвестно,Неизвестно,1022601008682,2619007372,26Л01 №0000688,Министерство образования и молодёжной политики Ставропольского края,Бессрочная,3651,True,True
"край. Красноярский, р-н. Новоселовский, с/с. Новоселовский, 662430",83914791961,Неизвестно,Duz@novuo.ru,http://novduz.ucoz.ru/,True,"МБОУ ДО ""Новосёловский Центр творчества и туризма"" - Новости",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,238,"{'https://vk.com/club195527134', 'https://vk.com/club180498662', 'https://vk.com/away.php?to=http%3A%2F%2Fwww.krstur.ru%2Fnews%2F5215%2F&post=-180498662_695&cc_key='}",Нет аккаунта,Нет аккаунта,16,"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Новосёловский Центр творчества и туризма""","МБОУ ДО ""Новосёловский Центр творчества и туризма""",1945-09-01,Юридическое лицо,42,Красноярский край,Организация дополнительного образования,248,62,54,59,49,0,24,0,80,18,3,9,2,3,0,1,0,Государственная собственность,Муниципальные бюджетные учреждения,1022400527490,2429471346,24ЛО1№0001769,Министерство образования Красноярского края,Бессрочная,1367,True,True
"обл. Тверская, р-н. Сандовский, пгт. Сандово, ул. Школьная, дом 1, 171750",84827221470,Неизвестно,sashkola@yandex.ru,http://ссош.роо-сандово.рф,True,Муниципальное бюджетное общеобразовательное учреждение Сандовская средняя  общеобразовательная школа | Главная,Отсутсвует,Отсутсвует,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,56,Муниципальное бюджетное общеобразовательное учреждение Сандовская средняя общеобразовательная школа,МБОУ Сандовская СОШ,1909-09-01,Юридическое лицо,68,Тверская область,Общеобразовательная организация,204,0,86,0,30,27,1,60,468,28,0,6,0,2,1,15,4,Неизвестно,Неизвестно,1026901543151,6938000606,69Л01 №0001721,Министерство образования Тверской области,Бессрочная,6331,False,True
"обл. Новосибирская, р-н. Колыванский, рп. Колывань, ул. Советская, 633161",83835254155,Неизвестно,kolddt@ngs.ru,http://kolddt.edusite.ru,True,"МБУДО ""Колыванский ДДТ"":   Главная страница","Муниципальное бюджетное учреждение дополнительного образования ""Колыванский Дом детского творчества"", МБУДО ""Колыванский ДДТ""","Муниципальное бюджетное учреждение дополнительного образования ""Колыванский Дом детского творчества"", МБУДО ""Колыванский ДДТ""",True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,89,"Муниципальное бюджетное учреждение дополнительного образования ""Колыванский Дом детского творчества""","МБУДО ""Колыванский ДДТ""",1945-06-15,Юридическое лицо,Неизвестно,Новосибирская область,Организация дополнительного образования,1178,605,0,59,222,248,44,0,Не известно,39,19,0,3,8,5,4,0,Неизвестно,Неизвестно,1025405626058,5424105581,Не известно,Не известно,Не известно,1201,True,False
"обл. Оренбургская, р-н. Домбаровский, п. Домбаровский, ул. 40 лет Октября, дом 18, 462734",83536721498,Неизвестно,ya.dcraduga1@yandex.ru,http://www.дц-радуга.рф,True,Детство без границ,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,91,Муниципальное бюджетное учреждение дополнительного образования Детский центр «Радуга» п. Домбаровский,"МБУДО ДЦ ""Радуга"" п. Домбаровский",1993-10-01,Юридическое лицо,71,Оренбургская область,Организация дополнительного образования,1400,578,54,141,219,53,355,0,1400,71,22,4,11,9,3,22,0,Государственная собственность,Муниципальные бюджетные учреждения,1025602444328,5628004550,56Л01 №0004984,Министерство образования Оренбургской области,Бессрочная,5559,True,True
"обл. Тверская, р-н. Конаковский, пгт. Новозавидовский, ул. Октябрьская, 171270",84824222588,Неизвестно,detcentr63@mail.ru,http://duc-konakovo.ucoz.ru,True,МБУ ДО ДЮЦ Конаковского района - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,56,"Муниципальное бюджетное учреждение дополнительного образования ""Детско-юношеский центр Конаковского района""",МБУ ДО ДЮЦ Конаковского района,1939-10-02,Юридическое лицо,14,Тверская область,Организация дополнительного образования,302,90,0,15,24,163,10,0,302,12,5,0,1,3,2,1,0,Государственная собственность,Муниципальные бюджетные учреждения,1026901733495,6911017352,135,Министерство Тверской области,Бессрочная,6144,True,False
"обл. Ленинградская, р-н. Бокситогорский, г. Бокситогорск, ул. Новогородская, дом 16, 187650",88136621213,88136621041,bcdo100@yandex.ru,http://цдод.рф,True,Бокситогорский Центр дополнительного образования-> О центре,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,39,"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Бокситогорский центр дополнительного образования""",МБОУ ДО БЦДО,1976-09-01,Юридическое лицо,73,Ленинградская область,Организация дополнительного образования,2227,1198,375,271,383,0,0,0,2227,28,16,3,6,3,0,0,0,Государственная собственность,Неизвестно,1034700507027,4701001874,47ЛО1 №0011108,Комитет общего и профессионального образования Ленинградской области,Бессрочная,3889,True,True
"обл. Костромская, р-н. Костромской, г. Кострома, ул. Маршала Новикова, дом 7, 156013",84942550363,Неизвестно,deticreativ@gmail.com,http://ddt-pokolenie.ru,True,Главная страница,Дополнительное образование Костромской район,"Дополнительное образование, Поколение, Костромской район",True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,36,"Муниципальное казённое образовательное учреждение Костромского муниципального района Костромской области ""Дом творчества""",Дом творчества Костромского района,Не известно,Юридическое лицо,65,Костромская область,Организация дополнительного образования,1236,414,53,333,282,0,154,0,1236,65,24,3,20,7,0,11,0,Государственная собственность,Муниципальные казенные учреждения,1024402234944,4414009005,44Л 01 №0001065,Департамент образования и науки Костромской области,Бессрочная,2112,True,True
"г. Санкт-Петербург, ул. Константина Заслонова, дом 6, лит. А, 191119",7812241272,Неизвестно,sch309@center-edu.spb.ru,https://www.school309.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное  общеобразовательное учреждение средняя общеобразовательная школа № 309 Центрального  района Санкт-Петербурга,ГБОУ СОШ № 309 Центрального района Санкт-Петербурга,1995-05-26,Юридическое лицо,19,Санкт-Петербург,Общеобразовательная организация,420,45,75,0,60,135,105,0,420,19,3,4,0,3,5,4,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027809237246,7825426434,№706,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,2696,False,True
"г. Санкт-Петербург, ул. Школьная, дом 29, лит. А, 197183",88124303320,Неизвестно,primudod-cvr@mail.ru,http://cvrprim.petersburgedu.ru,True,Государственное бюджетное учреждение дополнительного образования Центр внешкольной работы с детьми Приморского района Санкт-Петербурга реорганизовано.,Отсутсвует,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное учреждение дополнительного образования Центр внешкольной работы с детьми Приморского района Санкт-Петербурга,ГБУ ДО ЦВР Приморского района Санкт-Петербурга,2015-12-24,Юридическое лицо,32,Санкт-Петербург,Организация дополнительного образования,1300,310,0,60,800,130,0,0,1300,14,5,0,2,6,1,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1117847451578,7814516012,78Л02 №0000777,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,393,True,False
"обл. Пензенская, г. Пенза, ул. Лермонтова, дом 2, 440026",88412563974,Неизвестно,Неизвестно,http://crtdu58.ddns.net/,True,Сентябрь - Ноябрь : 2020 г. : Новости : Официальный сайт ГБУДОПО 'Центр развития творчества детей и юношества',Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,826,"{'https://vk.com/club198514913', 'https://vk.com/club161200758'}",Нет аккаунта,Нет аккаунта,45,"Государственное бюджетное учреждение дополнительного образования Пензенской области ""Центр развития творчества детей и юношества""","ГБУДОПО ""Центр развития творчества детей и юношества""",2010-05-19,Юридическое лицо,39,Пензенская область,Организация дополнительного образования,800,206,249,291,54,0,0,0,800,21,4,4,10,3,0,0,0,Государственная собственность,Неизвестно,1105837001313,5837043520,58Л01 0000626,Министерство образования Пензенской области,Бессрочная,1402,True,True
"г. Санкт-Петербург, п. Молодежное, ул. Правды, дом 6а, 197729",88124172184,Неизвестно,school-447@mail.ru,http://www.school447.ru/,True,ГБОУ СОШ №447 Курортного района Санкт-Петербурга,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,10255,"{'https://vk.com/dopedu_spb', 'https://vk.com/wall-195795914_455', 'https://vk.com/video-195795914_456239017', 'https://vk.com/megaherz_online'}",Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 447 Курортного района Санкт-Петербурга,ГБОУ СОШ №447 Курортного района Санкт-Петербурга,1946-09-29,Юридическое лицо,Неизвестно,Санкт-Петербург,Общеобразовательная организация,120,15,0,15,30,45,15,0,Не известно,8,1,0,1,2,3,1,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027812405422,7827001500,78 №002453,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,3413,True,False
"край. Приморский, г. Владивосток, ул. Иртышская, дом 10, 690033",84232361818,Неизвестно,dir@ducpk.ru,https://ducpk.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,17,Государственное автономное образовательное учреждение дополнительного образования детей «Детско-юношеский центр Приморского края»,ГОАУ ДОД ДЮЦ Приморского края,2002-09-27,Юридическое лицо,49,Приморский край,Организация дополнительного образования,131,61,0,70,0,0,0,0,131,3,1,0,2,0,0,0,0,Государственная собственность,Государственные автономные учреждения субъектов Российской Федерации,1032501902212,2538076836,255,Департаментом образования и науки Приморского края,Бессрочная,131,True,False
"АО. Ханты-Мансийский Автономный округ - Югра, г. Нефтеюганск, ул. Ленина, кор. 18, лит. 1, 628301",73463511430,Неизвестно,kvantorium86@gmail.com,http://rmc-ugra.ru,True,Региональный молодежный центр |,В Югре стартовала работа заключительного цикла Акселератора для активной молодежи. С 19 по 27 ноября молодые люди пройдут обучение по проектной деятельности:,Не найдено,True,1520,{'https://www.instagram.com/rmcugra'},4783,{'https://vk.com/rmcugra'},Нет аккаунта,Нет аккаунта,67,Автономное учреждение Ханты-Мансийского автономного округа - Югры «Региональный молодежный центр»,АУ «Региональный молодежный центр» / Детский технопарк «КВАНТОРИУМ» г. Нефтеюганск,Не известно,Юридическое лицо,70,Ханты-Мансийский автономный округ - Югра,Организация дополнительного образования,760,0,0,760,0,0,0,0,760,16,0,0,16,0,0,0,0,Государственная собственность,Неизвестно,1088601001444,8601035637,1938,Неизвестно,Бессрочная,128,True,False
"Респ. Северная Осетия - Алания, р-н. Кировский, с. Эльхотово, ул. Советская, дом 112, 363600",88673551646,Неизвестно,St.Unnature600kir@gmail.com,http//mkoudodsun.mwport.ru/,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,83,Муниципальное казённое учреждение дополнительного образования «Станция юных натуралистов» муниципального образования Кировский район Республики Северная Осетия-Алания,МКУ ДО СЮН с. Эльхотово,1977-02-16,Юридическое лицо,9,Республика Северная Осетия - Алания,Организация дополнительного образования,372,0,372,0,0,0,0,0,372,9,0,9,0,0,0,0,0,Неизвестно,Неизвестно,1021500904435,1509003285,2403,"Министерством образования и науки Республики Северная Осетия-Алания, Приказ №598 от 26 июля 2016 г.",Бессрочная,226,False,True
"обл. Белгородская, р-н. Ровеньский, п. Ровеньки, ул. М.Горького, дом 29, кор. 1, 309740",84723855855,Неизвестно,rovyun@yandex.ru,https://rovyun.narod2.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,23,"Муниципальное бюджетное учреждение дополнительного образования ""Районная станция юных натуралистов Ровеньского района Белгородской области""","МБУДО ""Районная станция юных натуралистов"" п. Ровеньки",1995-03-24,Юридическое лицо,44,Белгородская область,Организация дополнительного образования,673,157,516,0,0,0,0,0,673,43,5,38,0,0,0,0,0,Неизвестно,Неизвестно,1053108201156,3117004309,6268,Департамент образования Белгородской области,Бессрочная,2277,False,True
"обл. Ленинградская, р-н. Ломоносовский, д. Низино, ул. Центральная, 188501",88124230757,88123183508,cit@lmn.su,https://lmn.su,True,Новости,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,39,"Муниципальное автономное образовательное учреждение дополнительного образования ""Центр информационных технологий"" муниципального образования Ломоносовский муниципальный район Ленинградской области д. Низино",МАОУ ДО ЦИТ д. Низино,2004-04-06,Юридическое лицо,30,Ленинградская область,Организация дополнительного образования,1074,30,45,701,298,0,0,0,1074,32,2,2,19,9,0,0,0,Государственная собственность,Неизвестно,1044702181732,4720019860,0002008,Комитетом общего и профессионального образования Ленинградской области,Бессрочная,3818,True,True
"обл. Курская, г. Курск, ул. Станционная, дом 7А, 305044",84712341425,84712342305,moudodjao@yandex.ru,https://домтворчестважд.рф.,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,38,"муниципальное бюджетное учреждение дополнительного образования ""Дом детского творчества Железнодорожного округа""","МБУДО ""Дом детского творчества Железнодорожного округа""",1977-01-10,Юридическое лицо,102,Курская область,Организация дополнительного образования,3322,1120,435,169,1181,295,122,0,3500,79,29,10,3,28,6,3,0,Государственная собственность,Бюджетные учреждения,1034637008273,4631010551,2016,Комитет образования и науки Курской области,Бессрочная,5324,True,True
"обл. Курганская, г. Курган, ул. Василия Блюхера, дом 72/1, 640022",73522243639,Неизвестно,ddt-raduga@yandex.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,37,"муниципальное бюджетное образовательное учреждение дополнительного образования ""Дом детского творчества ""Радуга"" города Кургана",МБОУДО ДДТ «Радуга» г. Курган,1976-09-01,Юридическое лицо,80,Курганская область,Организация дополнительного образования,2713,1546,31,301,348,434,53,0,2713,75,39,1,7,14,12,2,0,Неизвестно,Неизвестно,1024500516490,4501030740,741,Департамент образования и науки Курганской области,Бессрочная,3549,True,True
"обл. Ульяновская, р-н. Карсунский, рп. Карсун, ул. Ульянова, дом 15, 433210",88424624705,Неизвестно,centr.1961@mail.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,60,"Муниципальное казённое образовательное учреждение ""Центр дополнительного образования"" р.п. Карсун",МКОУ ЦДО р.п. Карсун,1996-05-28,Юридическое лицо,17,Ульяновская область,Организация дополнительного образования,570,225,15,0,15,105,210,0,550,13,5,1,0,1,2,4,0,Неизвестно,Неизвестно,1027300723306,7307001945,0001326,Министерство образования и науки Ульяновской области,Бессрочная,783,False,True
Неизвестно,78336143506,78336143997,radugachepetsk@mail.ru,https://raduga-kch.ru,True,МБУ ДО ЦДТ «РАДУГА» — Муниципальное бюджетное учреждение дополнительного образования центр детского творчества «Радуга» города Кирово-Чепецка Кировской области,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,312,{'https://www.youtube.com/user/School62tv/featured'},35,"Муниципальное бюджетное учреждение дополнительного образования центр детского творчества ""Радуга"" города Кирово-Чепецка Кировской области","МБУ  ДО ЦДТ ""Радуга"" г. Кирово-Чепецк",Не известно,Юридическое лицо,Неизвестно,Кировская область,Организация дополнительного образования,650,494,0,79,24,53,0,0,650,26,17,0,3,2,4,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1034313507205,4312121199,1281,Департамент образования Кировской области,Бессрочная,4646,True,False
Неизвестно,88362453876,Неизвестно,moydodsut@yandex.ru,http://edu.mari.ru/mouo-yoshkarola/do1/default.aspx,True,"
	
	Домашняя - МБОУ ДО «Станция юных техников г. Йошкар-Олы»

",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,81,"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Станция юных техников г. Йошкар-Олы""","МБОУДО ""СЮТ г. Йошкар-Олы""",2001-04-23,Юридическое лицо,11,Республика Марий Эл,Организация дополнительного образования,300,80,0,220,0,0,0,0,300,11,2,0,9,0,0,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1021200773890,1215072896,202,Министерство образования и науки Республики Марий Эл,Бессрочная,4206,True,False
"Респ. Марий Эл, р-н. Звениговский, г. Звенигово, ул. Школьная, дом 109, 425060",88364571178,Неизвестно,zcdt@mail.ru,http://edu.mari.ru/mouo-zvenigovo/do1/default.aspx,True,"
	
	Домашняя - МУ ДО «Звениговский центр детского творчества»

",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,81,"Муниципальное учреждение дополнительного образования ""Звениговский центр детского творчества""","МУ ДО ""Звениговский ЦДТ""",1937-11-13,Юридическое лицо,15,Республика Марий Эл,Организация дополнительного образования,845,292,171,0,252,53,77,0,845,15,3,1,0,3,3,5,0,Государственная собственность,Муниципальные бюджетные учреждения,1021200558004,1203004644,375,Министерство образования и науки Республики Марий Эл,Бессрочная,4181,False,True
"обл. Тверская, р-н. Западнодвинский, г. Западная Двина, ул. Кирова, 172610",84826521489,89611403719,ddtdvina2015@mail.ru,http://ddtdvina.lbihost.ru,True,Официальный Сайт ДДТ Западная Двина,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,56,"Муниципальное бюджетное образовательное учреждение дополнительного образования""Дом детского творчества""г.Западная Двина,Тверской области",МБОУ ДО ДДТ г. Западная Двина,Не известно,Юридическое лицо,21,Тверская область,Организация дополнительного образования,385,300,0,30,0,30,25,0,408,11,8,0,1,0,1,1,0,Государственная собственность,Неизвестно,1046910006582,6922003922,245,министерство образования Тверской области,Бессрочная,6592,True,False
"Респ. Мордовия, р-н. Кадошкинский, рп. Кадошкино, ул. Заводская, 431900",88344823379,Неизвестно,ddtkadoshkino@yandex.ru,https://ddt-kadoshkino.a2b2.ru/,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,9,Муниципальное бюджетное учреждение дополнительного образования детей «Дом творчества» Кадошкинского муниципального района  Республики Мордовия,МБУ ДО Дом творчества Кадошкинского РМ,1994-09-01,Юридическое лицо,10,Республика Мордовия,Организация дополнительного профессионального образования,274,130,24,84,36,0,0,0,320,10,4,2,3,1,0,0,0,Государственная собственность,Неизвестно,1021300890060,1311088095,3724,Министерство образования Республики Мордовия,Бессрочная,3699,True,True
"край. Хабаровский, г. Хабаровск, пер. Ремесленный, дом 3, 680007",84212583471,Неизвестно,ecocenter.khv@mail.ru,http://debc27.ru,True,МАУ ДО ДЭБЦ г. Хабаровск - МАУ ДО ДЭБЦ г. Хабаровск,МАУ ДО ДЭБЦ г. Хабаровск,"МАУ ДО Детский эколого-биологический центр, дополнительное образование для детей, детский эколого-биологический центр Хабаровск",True,Нет аккаунта,Нет аккаунта,199,{'https://vk.com/ecocenter_khv'},Нет аккаунта,Нет аккаунта,19,"Муниципальное автономное учреждение дополнительного образования г. Хабаровска ""Детский эколого-биологический центр""","МАУ ДО ""ДЭБЦ"" г. Хабаровск",1992-07-20,Юридическое лицо,25,Хабаровский край,Организация дополнительного образования,820,70,434,0,0,0,316,0,820,14,2,7,0,0,0,5,0,Государственная собственность,Муниципальные автономные учреждения,1032700447438,2723044003,27Л01 № 0001534,Министерство образования и науки Хабаровского края,Бессрочная,1703,False,True
Неизвестно,88344921671,Неизвестно,insar.ddt@mail.ru,https://insarddt.edurm.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,9,"муниципальное бюджетное учреждение дополнительного образования ""Инсарский районный Дом творчества""","МБУДО ""Инсарский районный Дом творчества""",Не известно,Юридическое лицо,34,Республика Мордовия,Организация дополнительного образования,631,280,72,132,45,63,39,0,631,32,10,5,8,2,4,3,0,Неизвестно,Неизвестно,1021300888256,1309083244,13Л01 №0000389,Министерством образования Республики Мордовия,Бессрочная,7355,True,True
"г. Санкт-Петербург, пр-кт. Ленинский, дом 133, кор. 4, лит. А, 198216",88122460457,Неизвестно,ddut@kirov.spb.ru,http://www.kirov.spb.ru/sc/ddut/,True,Cайт не работает или не существует,У сайта неизвестная кодировка,У сайта неизвестная кодировка,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное учреждение дополнительного образования Дворец детского (юношеского) творчества Кировского района Санкт-Петербурга,ГБУ ДО ДДЮТ Кировского района Санкт-Петербурга,1935-03-05,Юридическое лицо,242,Санкт-Петербург,Организация дополнительного образования,7501,3330,184,865,1311,1145,666,0,7500,181,48,9,24,54,24,22,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027802738490,7805146710,№1830,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,327,True,True
